epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7095,3.20608,3.95308,4.23239,0.0028,0.85185,0.00381,0.00072,3.26632,4.34879,4.15537,0.00022,0.00022,0.00022
2,138.771,3.1951,3.91454,4.15487,0.0028,0.85185,0.00369,0.00077,3.23731,4.341,4.14166,0.000450892,0.000450892,0.000450892
3,208.873,3.11235,3.77831,4.12379,0.0028,0.85185,0.00379,0.00086,3.15997,4.28897,4.10071,0.00067228,0.00067228,0.00067228
4,487.519,2.96751,3.53567,3.94083,0.0028,0.85185,0.00448,0.00121,2.99524,4.15517,4.00191,0.000884164,0.000884164,0.000884164
5,552.149,2.7042,3.20847,3.70818,0.0028,0.85185,0.004,0.00094,3.1467,4.09726,4.14225,0.00108654,0.00108654,0.00108654
6,618.365,2.75826,3.10425,3.53858,0.00317,0.96296,0.00535,0.00136,2.80616,3.91065,3.86243,0.00127942,0.00127942,0.00127942
7,833.027,2.64605,2.88341,3.38815,0.00229,0.33333,0.00241,0.00049,2.66835,3.95177,3.7651,0.00146279,0.00146279,0.00146279
8,898.167,2.60176,2.69251,3.27568,0.29005,0.25926,0.2149,0.11823,2.54895,14.3498,2.98979,0.00163666,0.00163666,0.00163666
9,969.137,2.50207,2.59936,3.18671,0.34384,0.4321,0.28357,0.10251,2.20327,6.35438,3.25019,0.0016832,0.0016832,0.0016832
10,1178.18,2.44906,2.54305,3.06604,0.04425,0.2963,0.03946,0.01644,2.38139,38.8167,3.87061,0.0016436,0.0016436,0.0016436
11,1243.14,2.42927,2.46784,3.06034,0.5711,0.32099,0.42599,0.17879,2.37524,3.07447,3.07666,0.001604,0.001604,0.001604
12,1312.1,2.38014,2.30343,2.99351,0.0657,0.04938,0.04127,0.01231,2.48809,4.12908,3.1831,0.0015644,0.0015644,0.0015644
13,1380.95,2.39357,2.31033,2.9416,0.61903,0.75309,0.70955,0.37657,1.88272,3.1594,2.71362,0.0015248,0.0015248,0.0015248
14,1543.72,2.27692,2.08482,2.87373,0.21114,0.14815,0.08803,0.0348,2.47502,3.21429,3.285,0.0014852,0.0014852,0.0014852
15,1609.38,2.24452,2.03038,2.84089,0.00201,0.4321,0.00144,0.00083,2.38095,4.40607,3.49904,0.0014456,0.0014456,0.0014456
16,1678.58,2.18192,1.87855,2.81923,0.01176,0.04938,0.00718,0.00418,2.36424,3.91628,3.50558,0.001406,0.001406,0.001406
17,2619.15,2.11014,1.86631,2.75384,0.51556,0.41975,0.42861,0.15762,2.51544,2.50292,3.20765,0.0013664,0.0013664,0.0013664
18,2683.28,2.02749,1.74872,2.72964,0.76487,0.75309,0.75407,0.37683,1.62336,2.80688,2.26921,0.0013268,0.0013268,0.0013268
19,2750.38,2.03765,1.82285,2.64667,0.5758,0.75309,0.62982,0.31075,1.78296,2.2819,2.34928,0.0012872,0.0012872,0.0012872
20,3048.7,1.83823,1.70219,2.52123,0.59722,0.2716,0.3502,0.16918,1.93833,2.90758,2.53613,0.0012476,0.0012476,0.0012476
21,3111.91,1.94806,1.76609,2.55624,0.24596,0.20988,0.12496,0.05951,2.00092,3.20221,2.58606,0.001208,0.001208,0.001208
22,3181.02,1.85651,1.67654,2.50158,0.73474,0.33333,0.48161,0.31766,1.68413,2.84763,2.38822,0.0011684,0.0011684,0.0011684
23,3254.82,1.87801,1.58565,2.53025,0.77786,0.81481,0.83623,0.47292,1.59897,1.92267,2.22345,0.0011288,0.0011288,0.0011288
24,3324.33,1.71198,1.4216,2.3452,0.67536,0.7037,0.70479,0.33532,1.75372,2.36139,2.24657,0.0010892,0.0010892,0.0010892
25,3398.73,1.6915,1.35393,2.33315,0.7378,0.92593,0.86477,0.54677,1.41564,1.81183,2.00272,0.0010496,0.0010496,0.0010496
26,3477.14,1.7685,1.4625,2.34829,0.59652,0.91358,0.78035,0.41295,1.68505,1.74263,2.20637,0.00101,0.00101,0.00101
