epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,778.296,3.30928,3.7357,3.9884,0.03464,0.14894,0.0114,0.00331,2.92045,4.84444,3.49512,0.000661017,0.000661017,0.000661017
2,1735.27,2.66926,2.90947,3.17035,0.28413,0.39007,0.21818,0.06528,2.69398,3.30556,3.3408,0.0013014,0.0013014,0.0013014
3,2601.97,2.34029,2.50736,2.82615,0.36999,0.41489,0.37933,0.17744,2.18069,3.25328,2.83606,0.00191537,0.00191537,0.00191537
4,3514.29,2.10564,2.11611,2.5594,0.79271,0.5461,0.68447,0.3634,1.72803,2.06458,2.28214,0.0018812,0.0018812,0.0018812
5,4348.58,1.88999,1.79894,2.31243,0.75952,0.52638,0.67044,0.36698,1.72424,1.9977,2.18558,0.0018416,0.0018416,0.0018416
6,5163.66,1.71078,1.56468,2.10857,0.68003,0.7461,0.77749,0.45402,1.48084,1.52575,1.92916,0.001802,0.001802,0.001802
7,5997.05,1.53884,1.40826,1.9421,0.8161,0.7695,0.82768,0.55103,1.26014,1.42679,1.79827,0.0017624,0.0017624,0.0017624
8,6786.6,1.46669,1.33634,1.8546,0.72964,0.75604,0.80892,0.54908,1.22753,1.17395,1.73795,0.0017228,0.0017228,0.0017228
9,7516.12,1.41197,1.21684,1.79131,0.88258,0.82626,0.90361,0.61522,1.19818,1.0142,1.63411,0.0016832,0.0016832,0.0016832
10,8312.84,1.32601,1.13414,1.71243,0.92388,0.80496,0.89257,0.63741,1.08291,1.01911,1.55311,0.0016436,0.0016436,0.0016436
11,9990.87,1.28731,1.08217,1.66033,0.86992,0.78257,0.86905,0.64294,1.11558,1.08771,1.57241,0.001604,0.001604,0.001604
12,11667.9,1.27723,1.04571,1.63797,0.88915,0.82486,0.90213,0.67849,1.02033,0.88598,1.46126,0.0015644,0.0015644,0.0015644
13,12640.9,1.2654,1.053,1.6311,0.91506,0.90071,0.9398,0.6963,1.00882,0.83179,1.45568,0.0015248,0.0015248,0.0015248
14,13688.8,1.17505,0.95568,1.57129,0.91894,0.88437,0.93064,0.70903,0.9691,0.80908,1.40429,0.0014852,0.0014852,0.0014852
15,14406,1.16229,0.94699,1.53594,0.94497,0.91338,0.95596,0.75024,0.85472,0.72273,1.32256,0.0014456,0.0014456,0.0014456
16,15165.2,1.15169,0.95147,1.53921,0.90202,0.88298,0.92583,0.70107,0.98706,0.82916,1.44113,0.001406,0.001406,0.001406
17,15903.7,1.13851,0.90177,1.52558,0.97378,0.90071,0.94456,0.75258,0.83197,0.73563,1.34047,0.0013664,0.0013664,0.0013664
18,16598.6,1.10325,0.87824,1.50365,0.91391,0.90346,0.94798,0.73579,0.88439,0.80684,1.34518,0.0013268,0.0013268,0.0013268
19,17337.8,1.11704,0.88553,1.50755,0.91469,0.91245,0.95165,0.73984,0.89724,0.69974,1.33218,0.0012872,0.0012872,0.0012872
20,18045.4,1.07915,0.84237,1.47651,0.96177,0.92908,0.95619,0.73663,0.84397,0.73528,1.2729,0.0012476,0.0012476,0.0012476
21,18771.9,1.05547,0.82078,1.44796,0.95678,0.93617,0.96597,0.764,0.8232,0.64369,1.27209,0.001208,0.001208,0.001208
22,20073.6,1.03495,0.7828,1.43555,0.92709,0.89007,0.95359,0.76786,0.81093,0.65949,1.25782,0.0011684,0.0011684,0.0011684
23,21367.2,1.02946,0.78576,1.42311,0.96048,0.94799,0.96327,0.77064,0.8381,0.6708,1.26361,0.0011288,0.0011288,0.0011288
24,22710.6,1.01024,0.77007,1.41434,0.95259,0.91844,0.95998,0.7785,0.8127,0.60388,1.26777,0.0010892,0.0010892,0.0010892
25,23852.7,1.0038,0.74726,1.39641,0.95954,0.93617,0.96285,0.77379,0.76011,0.59244,1.23169,0.0010496,0.0010496,0.0010496
26,24742.4,0.98201,0.73343,1.38618,0.96334,0.93194,0.96689,0.8038,0.7305,0.59128,1.2073,0.00101,0.00101,0.00101
27,25523.5,0.97538,0.7216,1.3674,0.9341,0.90472,0.94857,0.78352,0.7397,0.57436,1.19977,0.0009704,0.0009704,0.0009704
28,26350.1,0.96097,0.7078,1.3683,0.94326,0.93972,0.96485,0.81007,0.69244,0.5377,1.17224,0.0009308,0.0009308,0.0009308
29,27226.7,0.96334,0.69465,1.35756,0.97069,0.93952,0.97176,0.80533,0.71068,0.55638,1.16481,0.0008912,0.0008912,0.0008912
