epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.004,3.27562,3.77293,4.16724,0.00211,0.62054,0.00296,0.00068,3.41118,4.28383,4.10639,0.000653333,0.000653333,0.000653333
2,886.084,2.97937,3.33758,3.65853,0.01898,0.00446,0.00465,0.00111,3.3148,3.92506,4.40919,0.00129386,0.00129386,0.00129386
3,1187.74,2.81605,2.9317,3.29632,0.0136,0.27232,0.01244,0.0021,3.12379,428.784,9.27743,0.00190799,0.00190799,0.00190799
4,1500.45,2.53631,2.6207,3.05988,0.10708,0.12054,0.03394,0.00892,3.36455,3.48446,3.83537,0.0018812,0.0018812,0.0018812
5,1883.78,2.32274,2.38987,2.95867,0.39306,0.38393,0.33854,0.13126,2.45213,4.53035,3.11229,0.0018416,0.0018416,0.0018416
6,2215.53,2.20186,2.18538,2.86567,0.25293,0.44196,0.31147,0.15505,2.244,4.50897,2.88997,0.001802,0.001802,0.001802
7,2546.28,2.13632,2.12035,2.70834,0.55726,0.45089,0.52905,0.24867,2.11302,2.34692,2.74036,0.0017624,0.0017624,0.0017624
8,2886.61,2.05012,1.99524,2.63796,0.44902,0.36383,0.41346,0.22001,1.85269,2.93751,2.51184,0.0017228,0.0017228,0.0017228
9,3304.02,1.94949,1.85369,2.57919,0.56372,0.49607,0.52771,0.26697,1.89925,3.7769,2.64252,0.0016832,0.0016832,0.0016832
10,3711.35,1.83643,1.72411,2.4547,0.71586,0.54464,0.62178,0.35589,1.92118,2.02492,2.53563,0.0016436,0.0016436,0.0016436
11,4100.36,1.74923,1.56325,2.33168,0.645,0.64732,0.70511,0.40141,1.74115,1.64066,2.34851,0.001604,0.001604,0.001604
12,4480.83,1.66334,1.47745,2.22759,0.71176,0.59375,0.70055,0.44426,1.53424,1.55547,2.16126,0.0015644,0.0015644,0.0015644
13,4832.9,1.57111,1.40574,2.14604,0.75431,0.71875,0.80866,0.53435,1.37421,1.49154,2.02929,0.0015248,0.0015248,0.0015248
14,5181.48,1.48021,1.2994,2.03567,0.76941,0.66518,0.75606,0.51883,1.36705,1.65804,1.98432,0.0014852,0.0014852,0.0014852
15,5537.09,1.41328,1.23136,1.95985,0.84484,0.64286,0.7735,0.52087,1.39666,1.54386,2.03058,0.0014456,0.0014456,0.0014456
16,5882.59,1.46804,1.27014,1.98336,0.74333,0.73661,0.82899,0.57986,1.2506,1.1608,1.87488,0.001406,0.001406,0.001406
17,7722.87,1.29693,1.11604,1.86679,0.85655,0.77302,0.88181,0.62113,1.19867,1.17578,1.78454,0.0013664,0.0013664,0.0013664
18,8073.2,1.2832,1.07294,1.81593,0.84118,0.8276,0.89277,0.65047,1.11091,1.0467,1.71126,0.0013268,0.0013268,0.0013268
19,8429.42,1.21784,1.00998,1.7666,0.82935,0.75935,0.87788,0.6413,1.17328,1.03102,1.7546,0.0012872,0.0012872,0.0012872
20,8792.64,1.14719,0.97146,1.68149,0.9031,0.70536,0.87461,0.65918,1.06366,1.13037,1.64385,0.0012476,0.0012476,0.0012476
21,9145.38,1.16032,0.97552,1.69554,0.84385,0.72376,0.87573,0.67395,1.00392,1.08337,1.59126,0.001208,0.001208,0.001208
22,9496.54,1.11091,0.9291,1.65293,0.82556,0.86623,0.89975,0.69774,0.97557,1.01403,1.54786,0.0011684,0.0011684,0.0011684
23,9859.39,1.08208,0.89131,1.61471,0.88715,0.87737,0.93094,0.73796,0.90774,0.86321,1.49508,0.0011288,0.0011288,0.0011288
24,10197.5,1.03612,0.86291,1.57423,0.83438,0.87711,0.91504,0.71853,0.92112,0.88143,1.49057,0.0010892,0.0010892,0.0010892
25,10637.5,1.02232,0.83365,1.5629,0.90932,0.89537,0.93556,0.74849,0.86332,0.80301,1.43804,0.0010496,0.0010496,0.0010496
26,11048.4,1.0039,0.82496,1.54988,0.85417,0.83675,0.91041,0.73545,0.84861,0.86177,1.41051,0.00101,0.00101,0.00101
27,11446.5,0.96345,0.80823,1.50869,0.88358,0.82589,0.91465,0.73724,0.84542,0.8402,1.40239,0.0009704,0.0009704,0.0009704
28,11743.9,0.94348,0.78146,1.48926,0.93315,0.86161,0.93499,0.7352,0.88714,0.81583,1.42234,0.0009308,0.0009308,0.0009308
29,12041.7,0.92481,0.76844,1.4824,0.89358,0.90625,0.93759,0.74064,0.84316,0.78996,1.37621,0.0008912,0.0008912,0.0008912
30,12359.8,0.94631,0.75409,1.47674,0.91022,0.90179,0.94306,0.7691,0.78826,0.70781,1.32666,0.0008516,0.0008516,0.0008516
31,12850.4,0.89383,0.7479,1.45903,0.95002,0.89732,0.95321,0.77013,0.7732,0.72417,1.32797,0.000812,0.000812,0.000812
32,13423.4,0.9122,0.73229,1.45401,0.89413,0.88839,0.9346,0.74309,0.81225,0.75865,1.34013,0.0007724,0.0007724,0.0007724
33,13746.7,0.87752,0.70229,1.42331,0.93307,0.91964,0.95159,0.77798,0.79087,0.70505,1.31671,0.0007328,0.0007328,0.0007328
34,14181.6,0.85,0.66754,1.4231,0.92098,0.90625,0.94125,0.78049,0.74277,0.72542,1.29612,0.0006932,0.0006932,0.0006932
35,14799.8,0.83646,0.67673,1.39582,0.93556,0.91964,0.94599,0.7789,0.75741,0.73169,1.29199,0.0006536,0.0006536,0.0006536
36,15093.1,0.81821,0.64206,1.38263,0.92426,0.95982,0.956,0.81062,0.7067,0.63753,1.2514,0.000614,0.000614,0.000614
