timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1734008291750311285,1.2712371713156771e-09,-2.661343119911043e-17,0.0,0.0,0.0,0.0,1.0
1734008291849636618,1.2083005821734695e-09,5.217102819908696e-10,0.0,0.0,0.0,2.970687407177763e-08,0.9999999999999996
1734008291949834526,1.3160046742553284e-09,1.5762342431227933e-16,0.0,0.0,0.0,2.6645352591003757e-15,1.0
1734008292049921896,1.3034462447597677e-09,-2.1731768106039688e-17,0.0,0.0,0.0,0.0,1.0
1734008292149725044,1.2230182450337834e-09,4.946976283442147e-10,0.0,0.0,0.0,3.206224974405813e-08,0.9999999999999994
1734008292250114099,1.3142955850232431e-09,1.6340391524193036e-16,0.0,0.0,0.0,5.329070518200751e-15,1.0
1734008292349880766,1.2196757327147125e-09,5.015423471211571e-10,0.0,0.0,0.0,3.255547165181837e-08,0.9999999999999994
1734008292449678970,1.3142165843786327e-09,1.6751054419350981e-16,0.0,0.0,0.0,5.329070518200751e-15,1.0
1734008292549909396,1.2726604375530442e-09,3.4482756353175875e-10,0.0,0.0,0.0,1.7709534061438603e-08,0.9999999999999999
1734008292649629858,1.3152888178083507e-09,9.891715794663826e-17,0.0,0.0,0.0,6.661338147750939e-16,1.0
1734008292749786081,1.3037610039243832e-09,-1.4238270027762818e-17,0.0,0.0,0.0,0.0,1.0
1734008292849796025,1.273522232040596e-09,3.424879567032189e-10,0.0,0.0,0.0,2.1922742732272124e-08,0.9999999999999998
1734008292949815692,1.3146714679280574e-09,1.1363073844015708e-16,0.0,0.0,0.0,3.552713678800501e-15,1.0
1734008293049666210,1.304046555358542e-09,-1.0523681297296787e-17,0.0,0.0,0.0,0.0,1.0
1734008293149792210,1.2596278252156367e-09,3.9311892527610436e-10,0.0,0.0,0.0,2.5228967359680606e-08,0.9999999999999997
1734008293249662284,1.3143243750460794e-09,1.3509680967184086e-16,0.0,0.0,0.0,4.218847493575595e-15,1.0
1734008293349702043,1.262262237337647e-09,3.8391688335691333e-10,0.0,0.0,0.0,2.462767501043572e-08,0.9999999999999997
1734008293449620839,1.3145092826255062e-09,1.3217642466508576e-16,0.0,0.0,0.0,3.9968028886505635e-15,1.0
1734008293549772525,1.3039900196000185e-09,-7.735746771180924e-18,0.0,0.0,0.0,0.0,1.0
1734008293649721765,1.253791441270069e-09,4.11448498382685e-10,0.0,0.0,0.0,2.6444145984072517e-08,0.9999999999999997
1734008293749655950,1.314487516406973e-09,1.4398561969161132e-16,0.0,0.0,0.0,4.440892098500626e-15,1.0
1734008293849948765,1.2987612097294174e-09,2.3239037269594344e-10,0.0,0.0,0.0,1.039404295966051e-08,1.0
1734008293949680728,1.314045776818998e-09,6.652702846210054e-17,0.0,0.0,0.0,-4.440892098500626e-16,1.0
1734008294049763098,1.3039646599827928e-09,-5.904553026020483e-18,0.0,0.0,0.0,0.0,1.0
1734008294149581728,1.2997399084834844e-09,2.252283238349327e-10,0.0,0.0,0.0,1.4314461616038443e-08,0.9999999999999999
1734008294249909691,1.314473133750589e-09,7.760218596989672e-17,0.0,0.0,0.0,2.4424906541753444e-15,1.0
1734008294349783265,1.3178818363866947e-09,4.72523383389152e-11,0.0,0.0,0.0,-1.3832883727360468e-09,1.0
1734008294449817357,1.315447741336666e-09,2.0332682393183814e-18,0.0,0.0,0.0,-2.4424906541753444e-15,1.0
1734008294549666265,0.006303382516166328,-2.685238803012771e-18,0.0,0.0,0.0,0.0001380452082743022,0.9999999904717601
1734008294649816487,0.03987232960230035,9.268121803337734e-06,0.0,0.0,0.0,0.0009958013081245339,0.9999995041897545
1734008294749704987,0.07675953059214918,8.273261761247468e-05,0.0,0.0,0.0,0.0018036360772377435,0.9999983734471276
1734008294849693042,0.12408305612123409,0.0002534422884201959,0.0,0.0,0.0,0.004397258691607242,0.9999903320112645
1734008294949608635,0.17625872823981106,0.0007123187519965503,0.0,0.0,0.0,0.005730515428134946,0.9999835804616634
1734008295049807246,0.23352189515386168,0.0013686390043748918,0.0,0.0,0.0,0.006775534105997871,0.9999770458053417
1734008295149814764,0.29250924288313657,0.00216802472910565,0.0,0.0,0.0,0.007852300818299332,0.9999691702106915
1734008295250742431,0.35255313959229556,0.003111061665491052,0.0,0.0,0.0,0.008947910566533022,0.999959966646912
1734008295349826320,0.41337742009347944,0.004199696988624904,0.0,0.0,0.0,0.010280269561304721,0.9999471566326628
1734008295449717283,0.47425817254756764,0.005451614253750825,0.0,0.0,0.0,0.011613626612345725,0.9999325595643483
1734008295549722172,0.5354008939030009,0.006872079102178021,0.0,0.0,0.0,0.012952923579038439,0.9999161073663908
1734008295649756690,0.5966090098231036,0.008458112925864684,0.0,0.0,0.0,0.014293703337380594,0.9998978398040986
1734008295749625875,0.657296050493976,0.010193546370855303,0.0,0.0,0.0,0.0156231697105148,0.999877950836099
1734008295849770320,0.7184955919711344,0.012106508357082052,0.0,0.0,0.0,0.01696392738274378,0.9998561022305925
1734008295950020857,0.7699837432587092,0.01385414755676207,0.0,0.0,0.0,0.01809174437202152,0.9998363309990178
1734008296049817838,0.8065918617374696,0.015179424128520079,0.0,0.0,0.0,0.018760391742509413,0.9998240083643058
1734008296149768653,0.8401715560369157,0.016440017085083497,0.0,0.0,0.0,0.019496326187197776,0.9998099285690267
1734008296249705097,0.8642308412916142,0.017378690103730644,0.0,0.0,0.0,0.019935484894029052,0.9998012684739103
1734008296349888023,0.8789844110136518,0.017967280051714284,0.0,0.0,0.0,0.02020488377158878,0.9997958604994205
