time,latitude,longitude,altitude,quality,hacc,vacc
2025/01/10 08:47:49.622647232,43.5709785,1.46691083333333,211.69999999999996,4,30.0,43.0
2025/01/10 08:47:50.647723010,43.57098216666666,1.4669075,211.69999999999996,4,34.0,47.0
2025/01/10 08:47:51.662573213,43.57098666666667,1.46690233333333,211.69999999999996,4,32.0,45.0
2025/01/10 08:47:52.434133768,43.57098666666667,1.46690233333333,211.69999999999996,4,22.0,30.0
2025/01/10 08:47:52.721251916,43.5709915,1.46689733333333,211.69999999999996,4,22.0,30.0
2025/01/10 08:47:53.493014860,43.5709915,1.46689733333333,211.69999999999996,4,22.0,31.0
2025/01/10 08:47:53.780195008,43.57099666666666,1.4668919999999999,211.69999999999996,4,22.0,31.0
2025/01/10 08:47:54.552957563,43.571002,1.46688683333333,211.69999999999996,4,21.0,30.0
2025/01/10 08:47:55.568782488,43.57100749999998,1.4668814999999897,211.8,4,18.0,23.0
2025/01/10 08:47:56.593642784,43.571012333333314,1.46687683333333,211.8,4,16.0,20.0
2025/01/10 08:47:57.608570894,43.571017833333315,1.4668713333333299,211.8,4,15.0,19.0
2025/01/10 08:47:58.623710171,43.571023166666656,1.4668661666666596,211.8,4,14.0,16.0
2025/01/10 08:47:59.638897393,43.57102849999998,1.4668604999999897,211.8,4,14.0,14.0
2025/01/10 08:48:00.654099578,43.57103399999998,1.4668551666666596,211.8,4,14.0,14.0
2025/01/10 08:48:01.669177133,43.571039333333324,1.46684983333333,211.8,4,14.0,14.0
2025/01/10 08:48:02.450957558,43.571039333333324,1.46684983333333,211.8,4,14.0,14.0
2025/01/10 08:48:02.737983725,43.57104516666666,1.46684383333333,211.8,4,14.0,14.0
2025/01/10 08:48:03.510875150,43.571051166666656,1.4668381666666597,211.8,4,14.0,14.0
2025/01/10 08:48:03.797079613,43.571051166666656,1.4668381666666597,211.8,4,14.0,14.0
2025/01/10 08:48:04.569885983,43.571056833333316,1.4668321666666597,211.8,4,14.0,13.0
2025/01/10 08:48:05.585226353,43.571062999999995,1.4668259999999897,211.8,4,14.0,13.0
2025/01/10 08:48:06.600358815,43.571069,1.46681983333333,211.8,4,14.0,11.0
2025/01/10 08:48:07.615548796,43.57107483333331,1.46681383333333,211.8,4,14.0,11.0
2025/01/10 08:48:08.640905869,43.57108116666666,1.4668076666666598,211.8,4,14.0,11.0
2025/01/10 08:48:09.657122109,43.57108766666666,1.4668013333333298,211.8,4,14.0,11.0
2025/01/10 08:48:10.428926313,43.57108766666666,1.4668013333333298,211.8,4,14.0,12.0
2025/01/10 08:48:10.716187664,43.571093833333315,1.46679533333333,211.8,4,14.0,12.0
2025/01/10 08:48:11.487984627,43.57110016666667,1.46678933333333,211.69999999999996,4,14.0,12.0
2025/01/10 08:48:11.775205590,43.57110016666667,1.46678933333333,211.69999999999996,4,14.0,12.0
2025/01/10 08:48:12.547979700,43.571106499999985,1.4667831666666598,211.69999999999996,4,14.0,13.0
2025/01/10 08:48:13.563201681,43.57111283333332,1.46677733333333,211.69999999999996,4,14.0,13.0
2025/01/10 08:48:14.588612718,43.57111916666666,1.46677083333333,211.69999999999996,4,14.0,11.0
2025/01/10 08:48:15.604697328,43.57112583333332,1.46676433333333,211.69999999999996,4,14.0,10.0
2025/01/10 08:48:16.619765920,43.57113216666666,1.46675883333333,211.69999999999996,4,14.0,12.0
2025/01/10 08:48:17.635112993,43.57113866666666,1.46675333333333,211.69999999999996,4,14.0,12.0
2025/01/10 08:48:18.650441734,43.57114516666667,1.4667471666666596,211.69999999999996,4,14.0,11.0
2025/01/10 08:48:19.665779585,43.571151666666665,1.4667409999999899,211.69999999999996,4,14.0,10.0
2025/01/10 08:48:20.440810603,43.571151666666665,1.4667409999999899,211.69999999999996,4,14.0,10.0
2025/01/10 08:48:20.726910492,43.57115866666666,1.4667345,211.69999999999996,4,14.0,10.0
2025/01/10 08:48:21.499956176,43.57115866666666,1.4667345,211.69999999999996,4,14.0,10.0
2025/01/10 08:48:21.787198510,43.57116533333332,1.4667281666666596,211.69999999999996,4,14.0,10.0
2025/01/10 08:48:22.560234991,43.571171833333324,1.466721,211.69999999999996,4,14.0,10.0
2025/01/10 08:48:23.575242434,43.57117833333333,1.46671433333333,211.69999999999996,4,14.0,11.0
2025/01/10 08:48:24.590625989,43.57118466666667,1.46670833333333,211.69999999999996,4,14.0,11.0
2025/01/10 08:48:25.605914989,43.5711895,1.4667016666666597,211.69999999999996,4,14.0,11.0
2025/01/10 08:48:26.631266377,43.57119266666666,1.4666936666666597,211.69999999999996,4,14.0,10.0
2025/01/10 08:48:27.646532488,43.571193499999985,1.4666841666666597,211.69999999999996,4,14.0,13.0
2025/01/10 08:48:28.661773024,43.571190999999985,1.4666749999999897,211.69999999999996,4,14.0,15.0
2025/01/10 08:48:29.434500986,43.571190999999985,1.4666749999999897,211.69999999999996,4,14.0,13.0
2025/01/10 08:48:29.721573505,43.57118666666666,1.466667,211.69999999999996,4,14.0,13.0
2025/01/10 08:48:30.493538541,43.57118666666666,1.466667,211.69999999999996,4,14.0,13.0
2025/01/10 08:48:30.780784171,43.5711805,1.46666083333333,211.69999999999996,4,14.0,13.0
2025/01/10 08:48:31.553635596,43.57117383333332,1.4666574999999897,211.69999999999996,4,14.0,13.0
2025/01/10 08:48:32.579665392,43.57116666666666,1.4666584999999999,211.69999999999996,4,14.0,14.0
2025/01/10 08:48:33.594824595,43.571159999999985,1.4666629999999998,211.69999999999996,4,14.0,17.0
2025/01/10 08:48:34.609930632,43.571154166666666,1.4666695,211.69999999999996,4,19.0,20.0
