time,left_feedback
-2901940295,0.0
-2802129036,0.0
-2701984925,0.0
-2602411499,0.0
-2502471555,0.0
-2402381388,0.0
-2302497462,0.0
-2202501258,0.0
-2102727018,0.0
-2002652981,0.0
-1902625222,0.0
-1802687481,0.0
-1702772111,0.0
-1602683611,0.0
-1502700129,0.0
-1402806851,0.0
-1302708852,0.0
-1202772166,0.0
-1102980574,0.0
-1002803759,0.0
-902790481,0.0
-802991519,0.0
-702773611,0.0
-602792426,0.0
-503031500,0.0
-402988778,0.0
-303017852,0.0
-244395797,0.0
-144300630,0.0
-44298093,0.0
55790333,0.0
196883833,0.0
296802407,0.0
396535666,0.0
496647666,0.0
596705888,0.0
696458740,0.0
796369647,0.0
896456573,0.0
996277740,0.0
1096322517,0.0
1196218406,0.0
1296205314,0.0
1396343480,0.0
1496235591,0.0
1596261758,0.0
1696199850,0.0
1796192869,0.0
1896199017,0.0
1996017387,0.0
2096026906,0.0
2154833220,0.0
2254643665,0.0
2354814128,0.0
2454526072,0.0
2554704831,0.0
2695820313,0.0
2795715887,0.0
2895610146,0.0
2995913498,0.0
3095705368,0.0
3195541701,0.0
3295457442,0.0
3395352294,0.0
3495951905,0.0
3596216423,0.0
3695344794,0.0
3795694757,0.0
3895808108,0.0
3995261516,0.0
4095470016,0.0
4195204793,0.0
4295185053,0.0
4395310108,0.0
4495203423,0.0
4595130312,0.0
4694915756,0.0
4795288830,0.0
4853977404,0.0
4953880941,4.28000020980835
5054245052,4.28000020980835
5153871700,11.470000267028809
5253865904,14.430000305175781
5353737996,15.920000076293945
5453797163,15.979999542236328
5594838107,16.290000915527344
5694844626,16.610000610351562
5794709774,16.709999084472656
5894777144,16.309999465942383
5995063422,16.549999237060547
6094681181,16.65999984741211
6194800163,16.809999465942383
6294739959,16.8799991607666
6394638774,17.049999237060547
6494592570,16.959999084472656
6595970922,17.209999084472656
6694770070,17.030000686645508
6753434829,16.610000610351562
6894719921,16.530000686645508
6994587736,17.239999771118164
7094445088,17.309999465942383
7194666495,16.90999984741211
7294552421,16.860000610351562
7394325106,16.950000762939453
7494303606,17.209999084472656
7594526199,17.309999465942383
7694485847,17.030000686645508
7753122865,16.959999084472656
7853054143,17.139999389648438
7952819402,17.209999084472656
8052753569,16.959999084472656
8152877365,17.06999969482422
8252681458,17.459999084472656
8352994143,17.899999618530273
8452670272,17.420000076293945
8594049217,17.079999923706055
8693900217,17.170000076293945
8752688642,17.170000076293945
8894080939,17.440000534057617
8993826865,17.399999618530273
9094056753,17.149999618530273
9193832401,17.260000228881836
9293781346,17.170000076293945
9393616364,16.760000228881836
9493668661,16.899999618530273
9593535642,17.139999389648438
9694140809,17.170000076293945
9793795734,17.030000686645508
9893703771,17.209999084472656
9993647790,17.010000228881836
10052182605,17.010000228881836
10193525753,16.200000762939453
10293244012,16.229999542236328
10393582901,16.34000015258789
10493195808,17.030000686645508
10593260475,16.950000762939453
10651871104,16.950000762939453
10793593549,16.739999771118164
10893310882,17.3700008392334
10952021326,17.3700008392334
11051769419,17.920000076293945
11151743011,17.350000381469727
11252146808,17.309999465942383
11351779345,17.0
11451818752,17.350000381469727
11551779363,17.260000228881836
11651732048,17.280000686645508
11792826955,17.530000686645508
11851768363,18.0
11992791937,17.6200008392334
12092804529,17.290000915527344
12192828196,17.280000686645508
12292931548,17.290000915527344
12393255400,16.950000762939453
12493057140,17.3700008392334
12592626214,17.010000228881836
12692636270,17.0
12792799177,17.049999237060547
12892539214,17.149999618530273
12992821566,16.950000762939453
13092519195,16.899999618530273
13192488029,17.06999969482422
13292329825,16.09000015258789
13392610547,15.789999961853027
13492479566,16.43000030517578
13550964214,17.0
13651108103,17.1200008392334
13792164880,17.190000534057617
13851136084,16.639999389648438
13950990102,16.559999465942383
14050757528,18.0
14151125936,18.40999984741211
14250904565,18.170000076293945
14350658269,17.489999771118164
14450883917,17.6200008392334
14550962935,17.399999618530273
14650869417,17.350000381469727
14751107046,17.489999771118164
14891707602,18.149999618530273
14991669935,17.559999465942383
15091686028,17.350000381469727
15192940565,17.469999313354492
15291988287,18.049999237060547
