time,right_command
0,0
86037,0
118666,0
1045129,0
2005796,0
3002703,0
4038000,0
5101796,0
6075425,0
7058074,0
8056796,0
9047703,0
10028425,0
11020944,0
12088740,0
13075907,0
14036333,0
15071259,0
16090240,0
17096648,0
18094111,0
19098777,0
20120314,0
21098685,0
22088425,0
23088277,0
24115518,0
25079351,0
26045666,0
27036388,0
28027981,0
29061851,0
30034685,0
31029425,0
32027388,0
33048425,0
34071796,0
35053185,0
36094759,0
37081037,0
38059111,0
39071685,0
40053055,0
41075888,0
42054240,0
43050092,0
44045981,0
45069722,0
46057000,0
47053629,0
48048537,0
49069981,0
50044740,0
51102759,0
52112129,0
53093074,0
54074574,0
55063870,0
56032629,0
57102962,0
58056370,0
59096722,0
60120166,0
61101574,0
62081203,0
63059092,0
64099259,0
65070314,0
66029814,0
67035037,0
68085685,0
69061314,0
70048481,0
71047240,0
72037148,0
73054611,0
74095833,0
75084851,0
76121185,0
77092592,0
78081092,0
79081407,0
80185074,0
81078740,0
82068203,0
83054925,0
84197240,0
85078388,0
86034166,0
87030666,0
88032759,0
89068222,0
90059462,0
91053370,0
92042925,0
93060499,0
94044888,0
95210370,0
96040592,0
97212537,0
98034185,0
99034314,0
100031333,0
101033092,0
102033388,0
103034388,0
104081777,0
105232222,0
106240037,0
107067592,0
108100777,0
109076740,0
110272499,0
111113796,0
112118703,0
113070462,0
114061129,0
115070796,0
116100870,0
117115092,0
118056444,0
119056981,0
120220759,0
121101722,0
122109074,0
123078277,0
124283240,0
125263388,0
126039074,0
127183129,0
128022870,0
129200574,0
130028074,0
131173277,0
132019907,0
133068814,0
134048166,0
135252370,0
136187611,0
137293259,0
138242611,0
139232981,0
140122703,0
141087185,0
142053796,0
143052851,0
144289370,0
145167166,0
146277888,0
147097685,0
148143370,0
149108036,0
150062222,0
151040499,0
152041666,0
153208370,0
154030111,0
155204222,0
156213370,0
157368648,0
158058981,0
159046999,0
160180925,0
161225814,0
162192296,0
163190462,0
164199055,0
165710166,0
166296944,0
167340129,0
168101648,0
169280611,0
170055759,0
171043111,0
172032666,0
173217499,0
174038462,0
175043999,0
176120185,0
177273203,0
178054870,0
179207425,0
180093481,0
181085499,0
182059036,0
183051796,0
184051722,0
185281148,0
186051851,0
187025648,0
188188814,0
189058388,0
190050148,0
191022870,0
192013814,0
193024536,0
194019703,0
195048277,0
196041796,0
197000277,0
198085370,0
199064685,0
200120759,0
201078888,0
202058277,0
203048277,0
204103111,0
205084814,0
206077611,0
207049018,0
208050296,0
209111944,0
210078962,0
211100907,0
212107185,0
213079073,0
214070425,0
215240685,0
216057499,0
217075648,0
218042296,0
219025592,0
220032148,0
221042703,0
222032111,0
223026851,0
224052592,0
225225629,0
226061351,0
227077740,0
228092314,0
229084814,0
230301259,0
231047518,0
232219573,0
233207166,0
234197185,0
235018759,0
236186685,0
237049870,0
238179573,0
239032073,0
240123777,0
241095203,0
242067759,0
243066648,0
244116314,0
245112240,0
246073518,0
247044611,0
248185629,0
249053740,0
250028592,0
251029555,0
252054666,0
253063425,0
254074685,0
255084944,0
256098629,0
257080555,0
258084499,0
259072685,0
260132296,0
261123999,0
262085833,0
263058055,0
264191092,0
265278018,0
266093796,0
267064185,0
268040499,0
269369370,0
270265703,0
271227666,0
272041370,0
273057759,0
274050796,0
275208518,0
276273073,0
277180370,0
278116722,0
279089814,0
280118592,0
281076981,0
282061036,0
283055110,0
284056536,0
285096240,0
286196648,0
287112073,0
288106444,0
289078388,0
