time,left_command
0,0
93222,0
172666,0
216574,0
257037,0
319889,0
351240,0
373870,0
396500,0
417555,0
438889,0
460574,0
482574,0
504870,0
525740,0
716611,0
1609055,0
2589333,0
3578500,0
4559092,0
5651166,0
6603759,0
7574722,0
8825092,0
9849259,0
10653759,0
11763648,0
12611370,0
13590055,0
14611981,0
15621500,0
16726981,0
17773981,0
18673389,0
19647074,0
21322944,0
22882759,0
22978389,0
24726814,0
25738629,0
26817463,0
27651240,0
28650166,0
29594648,0
31027574,0
31678074,0
32658722,0
33652148,0
34794981,0
35630389,0
36636426,0
37589240,0
38612129,0
39722777,0
40655074,0
41615240,0
42627018,0
43596074,0
44585629,0
45672389,0
46656889,0
47614370,0
48590685,0
49585203,0
50622111,0
51607555,0
52589055,0
53578574,0
54609240,0
55582629,0
56656926,0
57579537,0
58618185,0
59596740,0
60598222,0
61698296,0
62654518,0
63630740,0
64665203,0
65693463,0
66655259,0
67619407,0
68628166,0
69654814,0
70632648,0
71615092,0
72601926,0
73601444,0
74628351,0
75644907,0
76655018,0
77680389,0
78623240,0
79620833,0
80602944,0
81649685,0
82664648,0
83605592,0
84592000,0
85588537,0
86623277,0
87609314,0
88596259,0
89591481,0
90663833,0
91625814,0
92615926,0
93611814,0
94592888,0
95616629,0
96625037,0
97611259,0
98604888,0
99613926,0
100602851,0
101605259,0
102618870,0
103608148,0
104601666,0
105709722,0
106641388,0
107627370,0
108621722,0
109655166,0
110636166,0
111619759,0
112608777,0
113592055,0
114599203,0
115590629,0
116591907,0
117590611,0
118621611,0
119603000,0
120658314,0
121648537,0
122616296,0
123680611,0
124640166,0
125615759,0
126617814,0
127614370,0
128602111,0
129586574,0
130584944,0
131576537,0
132571277,0
133574981,0
134582574,0
135604148,0
136621518,0
137777277,0
138606981,0
139622185,0
140639574,0
141704722,0
142624407,0
143622240,0
144615611,0
145600518,0
146619648,0
147695888,0
148611314,0
149868351,0
150864759,0
151789907,0
152767185,0
153596240,0
154623574,0
155612740,0
156619296,0
157648796,0
158646796,0
160075944,0
160859611,0
161687351,0
162797944,0
163592425,0
164741722,0
165599592,0
166642333,0
167762518,0
168621907,0
169789944,0
170623777,0
171609277,0
172732537,0
173769407,0
174744388,0
175577185,0
176709444,0
177775296,0
178602277,0
179589703,0
180803166,0
181818740,0
182715963,0
183643759,0
184626981,0
185648629,0
186631481,0
187598814,0
188606629,0
189593666,0
190593259,0
191572574,0
192633500,0
193649629,0
194618463,0
195639351,0
196628407,0
197611259,0
198715037,0
199630296,0
200657777,0
201687407,0
202784000,0
204942166,0
206818648,0
207090240,0
208793888,0
208864925,0
209976796,0
210724203,0
211627111,0
212613333,0
213720222,0
214609592,0
215570703,0
216579259,0
217731370,0
218758185,0
219562574,0
220601111,0
221654722,0
222626240,0
223609611,0
224697500,0
225720796,0
226648037,0
227636148,0
228773537,0
229817351,0
230617666,0
231673092,0
232646944,0
233661333,0
234642944,0
235667111,0
236707574,0
237687981,0
238644759,0
239644648,0
240707851,0
241675944,0
242833907,0
243636074,0
244623851,0
245615388,0
246631185,0
247641388,0
248643814,0
249614092,0
250605666,0
251596981,0
252588944,0
253589666,0
254597277,0
255589148,0
256595388,0
257648018,0
258617648,0
259604925,0
260606851,0
261606129,0
262634962,0
263595981,0
264592703,0
265590518,0
266596055,0
267592499,0
268586870,0
269595462,0
270603074,0
271591129,0
272618648,0
273642796,0
274672203,0
275629037,0
276635537,0
278701425,0
278800703,0
282679296,0
282764574,0
282797074,0
282824574,0
283864296,0
284640907,0
285611833,0
286616222,0
287785351,0
288788740,0
289590833,0
290629185,0
291647351,0
292627407,0
293698240,0
294649351,0
295620222,0
296621907,0
297653703,0
298689129,0
299656518,0
300622425,0
301750962,0
302812999,0
303621129,0
304605944,0
305599462,0
306629351,0
307770685,0
308601648,0
309593796,0
310612611,0
311591333,0
312585425,0
313584833,0
314606018,0
315589907,0
316639944,0
317615185,0
318623425,0
319611814,0
320621092,0
321611925,0
322823092,0
323652351,0
324634185,0
325611314,0
326622407,0
327603888,0
328601499,0
329608092,0
330621685,0
331666370,0
332788499,0
333643351,0
334623370,0
335609314,0
336602981,0
337736536,0
338614759,0
339586629,0
340656499,0
341586981,0
342629111,0
343604148,0
344601555,0
345592648,0
346661925,0
347809777,0
348684462,0
349676166,0
350732444,0
351631185,0
352615833,0
353598536,0
354725259,0
355635999,0
356606462,0
357585333,0
358949851,0
359773277,0
360705499,0
361800888,0
362645888,0
363631888,0
364872185,0
365666351,0
366655129,0
367799722,0
368605074,0
369668388,0
370632462,0
371602481,0
372595036,0
373588407,0
374604907,0
375589166,0
376628388,0
377671462,0
378648314,0
379627981,0
380614888,0
381954203,0
382817222,0
383884870,0
384694370,0
385712555,0
386679777,0
387668259,0
388646055,0
389673277,0
390644648,0
391809518,0
392671666,0
393677370,0
394802166,0
395603759,0
396622388,0
397744666,0
398612314,0
399613888,0
400600407,0
401601611,0
402774999,0
403596166,0
404599073,0
405587073,0
406632240,0
407637277,0
408615240,0
409645796,0
410778444,0
411632351,0
412881314,0
413668962,0
414805555,0
415621592,0
416616129,0
417604870,0
418622518,0
419605036,0
420602277,0
421668111,0
422661388,0
423633851,0
424628036,0
425660962,0
426645129,0
427827685,0
428632462,0
429647259,0
430617796,0
431612092,0
432605333,0
433612648,0
434646185,0
435639388,0
436699425,0
437681277,0
438648981,0
439669740,0
440889370,0
441787685,0
442690333,0
443634333,0
444611573,0
445610259,0
446765555,0
447704796,0
448661592,0
449668888,0
450641833,0
451760629,0
452675333,0
453658018,0
454630444,0
455613870,0
456616185,0
457752240,0
458871759,0
459770629,0
460757777,0
461584814,0
462598407,0
463667018,0
464639703,0
465674425,0
466674036,0
467844333,0
468782462,0
469690444,0
470681036,0
471659073,0
472642092,0
473679018,0
474636536,0
475606351,0
476594462,0
477598110,0
478830481,0
479626240,0
480612999,0
481667185,0
482720166,0
483667629,0
484793666,0
485601796,0
486674425,0
487798296,0
488600888,0
489738296,0
490766462,0
491590981,0
492755185,0
493616666,0
494818092,0
495622722,0
496641370,0
497687092,0
498836259,0
499643481,0
500810536,0
501701370,0
502663351,0
503641129,0
504603999,0
505601851,0
506608314,0
507599629,0
508590722,0
509586610,0
510773907,0
511646573,0
512845925,0
513664036,0
514792073,0
515630073,0
516621666,0
517820055,0
518612573,0
519654629,0
520623777,0
521608073,0
522678555,0
523610055,0
524632499,0
525607110,0
526666055,0
527645314,0
528619925,0
529661722,0
530630129,0
531626833,0
532623222,0
533666722,0
534615814,0
535603370,0
536585444,0
537583055,0
538599129,0
539584666,0
540583333,0
541607981,0
542631759,0
543606610,0
544599981,0
545597333,0
546621814,0
547769796,0
548613814,0
549786370,0
550605796,0
551586555,0
552584629,0
553582851,0
554601018,0
555583722,0
556609425,0
557734592,0
558788592,0
559617518,0
560609499,0
561606629,0
562793722,0
563609333,0
564604999,0
565812888,0
566619407,0
567765092,0
568593759,0
569597018,0
570631647,0
571625777,0
572660870,0
573863573,0
574683110,0
575666036,0
576655666,0
577657777,0
578627147,0
579610981,0
580606722,0
581591499,0
582451999,0
583654592,0
584612407,0
585604314,0
586616666,0
587639573,0
588642610,0
589653592,0
590641870,0
591622462,0
592790444,0
593736999,0
594626444,0
595613073,0
596602796,0
597592166,0
598594647,0
599588740,0
600579333,0
601611777,0
602792499,0
603626814,0
604618314,0
605666647,0
606638796,0
607796425,0
608627370,0
609812851,0
610617555,0
611603018,0
612626536,0
613738518,0
614626462,0
615602592,0
616646962,0
617657629,0
618613629,0
619601666,0
620602666,0
621594555,0
622785944,0
623588851,0
624591518,0
625591425,0
626808240,0
627640370,0
628624555,0
629878222,0
630642666,0
631708055,0
632660462,0
633667796,0
634667018,0
635634129,0
636619722,0
637663629,0
638629240,0
639604259,0
640597592,0
641596647,0
642612518,0
643596740,0
644706833,0
645602221,0
646657203,0
647612796,0
648604592,0
649602036,0
650613777,0
651606703,0
652601259,0
653593203,0
654599296,0
655587147,0
656584647,0
657581259,0
658592944,0
659585925,0
660583518,0
661661055,0
662617721,0
663603647,0
664602647,0
665606629,0
666613925,0
667613647,0
668598925,0
669587129,0
670599610,0
671585870,0
672585629,0
673586184,0
674599481,0
675585796,0
676652055,0
677616536,0
678614296,0
679605721,0
680604203,0
681597759,0
682542888,0
683619221,0
684590573,0
685612999,0
686610092,0
687579555,0
688705221,0
689774018,0
690636610,0
691602647,0
692659647,0
693610333,0
694611184,0
695989499,0
696850962,0
697677240,0
698805110,0
699599962,0
700602018,0
701740240,0
702775555,0
703577833,0
704571666,0
705585184,0
706773462,0
707613573,0
708595610,0
709590036,0
710785684,0
711824796,0
712647888,0
713614444,0
714753092,0
715590407,0
718020721,0
718486888,0
718705444,0
719697462,0
720633740,0
721706629,0
722674944,0
723652888,0
724850740,0
725705777,0
726665296,0
1053667906,0
1053812647,0
1053884092,0
1053946406,0
1054927832,0
1055157795,0
1055227369,0
1055286869,0
1055477740,0
1055588740,0
1055642814,0
1055685518,0
1055724184,0
1055836166,0
1055951721,0
1056000221,0
1056037925,0
1056075055,0
1056111240,0
1056148462,0
1056187499,0
1056224518,0
1056262777,0
1056300314,0
1057470332,0
1058064203,0
1058411295,0
1058482221,0
1058664443,0
1058724518,0
1058765258,0
1058803851,0
1063463221,0
1063571962,0
1063599851,0
1063625869,0
1063732166,0
1063775425,0
1063825073,0
1063869295,0
1063912351,0
1064182332,0
1064269758,0
1064343055,0
1064402592,0
1064433740,0
1064458129,0
1064481610,0
1064625740,0
1064677536,0
1064726092,0
1065539055,0
1065671406,0
1065709055,0
1065733055,0
1065824777,0
1065994462,0
1066025295,0
1066049462,0
1066072314,0
1066094795,0
1066117425,0
1066139462,0
1066161814,0
1066184425,0
1066206666,0
1066650666,0
1067582388,0
1068579851,0
1069577221,0
1070619610,0
1071660036,0
1072574388,0
1073567555,0
1074581369,0
1075575980,0
1076573406,0
1077599980,0
1078598425,0
1079594592,0
1080601777,0
1081674314,0
1082878388,0
1083650480,0
1084650110,0
1085678092,0
1086641092,0
1087628906,0
1088617629,0
1089654240,0
1090633351,0
1091653999,0
1092636258,0
1093615832,0
1094611221,0
1095619906,0
1096621795,0
1097655592,0
1098626666,0
1099611592,0
1100589943,0
1101592147,0
1102639999,0
1103619740,0
1104608906,0
1105606758,0
1106693369,0
1107646851,0
1108630277,0
1109683647,0
1110630203,0
1111625795,0
1112796684,0
1113615518,0
1114854166,0
1115609388,0
1116602499,0
1117603425,0
1118604536,0
1119599092,0
1120612443,0
1121758610,0
1122643518,0
1123601721,0
1124629925,0
1125836740,0
1126611166,0
1127614221,0
1128622351,0
1129795943,0
1130844703,0
1131591980,0
1132591610,0
1133795055,0
1134632666,0
1135844184,0
1136719721,0
1137716517,0
1138679555,0
1139778888,0
1140957499,0
1141887795,0
1142622443,0
1143764240,0
1144662258,0
1145752777,0
1146840110,0
1147593369,0
1148714055,0
1149567740,0
1150600240,0
1151614240,0
1152657258,0
1153692055,0
1154644184,0
1155641869,0
1156625240,0
1157742592,0
1158802888,0
1159613980,0
1160648277,0
1161738017,0
1162800258,0
1163609740,0
1164609647,0
1165605240,0
1166645036,0
1167642869,0
1168622110,0
1169647517,0
1170733925,0
1171631758,0
1172785073,0
1173744851,0
1174750684,0
1175621906,0
1176603573,0
1177592832,0
1178609999,0
1179586703,0
1180588592,0
1181674406,0
1183051036,0
1183716369,0
1184660555,0
1185679629,0
1186654999,0
1187650110,0
1188647740,0
1189662980,0
1190629406,0
1191635480,0
1192620388,0
1193746851,0
1194799721,0
1195613814,0
1196638629,0
1197661258,0
1198646480,0
1199627906,0
1200624332,0
1201695999,0
1202805536,0
1203602629,0
1204599721,0
1205590647,0
1206608017,0
1207594073,0
1208587869,0
1209584203,0
1210601036,0
1211664684,0
1212625110,0
1213606351,0
1214626314,0
1215611703,0
1216602240,0
1217795962,0
1218775888,0
1219593499,0
1220602314,0
1221666962,0
1222603017,0
1223587536,0
1224590295,0
1225602703,0
1226677406,0
1227622869,0
1228982166,0
1229793554,0
1230665425,0
1231677536,0
1232806036,0
1233607314,0
1234766888,0
1235580462,0
1236590592,0
1237641295,0
1238642036,0
1239603388,0
1240591758,0
1241703906,0
1242817184,0
1243696240,0
1244647980,0
1245669925,0
1246664814,0
1247631110,0
1248651943,0
1249612295,0
1250750721,0
1251685221,0
1252628351,0
1253657703,0
1254634925,0
1255616203,0
1256646795,0
1257656832,0
1258632888,0
1259621369,0
1260799184,0
1261954480,0
1262671314,0
1263628443,0
1264611166,0
1265592443,0
1266770906,0
1267598943,0
1268605129,0
1269588017,0
1270608184,0
1271625943,0
1272673443,0
1273674369,0
1274637091,0
1275622332,0
1276622258,0
1277680980,0
1278630258,0
1279610462,0
1280600554,0
1281709369,0
1282653758,0
1283619147,0
1284630703,0
1285591499,0
1286614554,0
1287620091,0
1288597906,0
1289584777,0
1290640314,0
1291601462,0
1292638499,0
1293673629,0
1294657351,0
1295614147,0
1296604388,0
1297598184,0
1298623462,0
1299608962,0
1300601740,0
1301653999,0
1302689277,0
1303648906,0
1304613832,0
1305656795,0
1306646999,0
1307639221,0
1308607351,0
1309612166,0
1310632221,0
1311598536,0
1312592795,0
1313598517,0
1314610091,0
1315593980,0
1316622129,0
1317664906,0
1318643888,0
1319612795,0
1320608721,0
1321605554,0
1322664869,0
1323834073,0
1324650925,0
1325651573,0
1326618221,0
1327604128,0
1328602277,0
1329592147,0
1330612054,0
1331666795,0
1332847962,0
1333672573,0
1334812425,0
1335628499,0
1336613110,0
1337833369,0
1338612536,0
1339603295,0
1340602443,0
1341590184,0
1342786054,0
1343617721,0
1344623128,0
1345613314,0
1346654906,0
1347655277,0
1348635184,0
1349662369,0
1350642406,0
1351629351,0
1352822499,0
1353665832,0
1354629999,0
1355610703,0
1356604369,0
1357607869,0
1358624740,0
1359607073,0
1360607666,0
1361667017,0
1362840536,0
1363649814,0
1364635980,0
1365660462,0
1366827999,0
1367632443,0
1368632517,0
1369653517,0
1370631832,0
1371608591,0
1372607017,0
1373608091,0
1374618314,0
1375606314,0
1376656925,0
1377682999,0
1378819369,0
1379645480,0
1380639128,0
1381666980,0
1382842314,0
1383629536,0
1384622240,0
1385607443,0
1386626203,0
1387606721,0
1388610517,0
1389608684,0
1390857443,0
1391678499,0
1393004462,0
1393754110,0
1395037740,0
1395715591,0
1397034184,0
1397710128,0
1398741017,0
1399907795,0
1400672554,0
1401752814,0
1402874480,0
1403646499,0
1404683795,0
1405664480,0
1406691888,0
1407694980,0
1408654184,0
1409747258,0
1410671165,0
1412156128,0
1412922832,0
1413867536,0
1414660110,0
1415681240,0
1416633406,0
1417599203,0
1418606073,0
1419748147,0
1420582647,0
1421595536,0
1422729240,0
1423735962,0
1424852017,0
1425667147,0
1426856814,0
1427634017,0
1428621999,0
1429608054,0
1430614332,0
1431602221,0
1432601221,0
1433614536,0
1434616758,0
1435592369,0
1436648073,0
1437614684,0
1438622314,0
1439606777,0
1440599536,0
1441605314,0
1442636388,0
1443597906,0
1444591277,0
1445582814,0
1446597610,0
1447585128,0
1448603425,0
1449586406,0
1450596962,0
1451641628,0
1452615277,0
1453661777,0
1454645202,0
1455621351,0
1456619647,0
1457680740,0
1458626814,0
1459610851,0
1460624017,0
1461607702,0
1462617758,0
1463613999,0
1464599591,0
1465594240,0
1466727240,0
1467618351,0
1468611740,0
1469646406,0
1470674406,0
1471842443,0
1472795721,0
1473718573,0
1474654110,0
1475601665,0
1476590591,0
1477587795,0
1478597499,0
1479596740,0
1480704573,0
1481653110,0
1482624832,0
1483613054,0
1484616999,0
1485657980,0
1486630425,0
1487624017,0
1488617036,0
1489790443,0
1490600591,0
1491604314,0
1492826591,0
1493692832,0
1494637647,0
1495612999,0
1496673480,0
1497661351,0
1498635999,0
1499621851,0
1500617517,0
1501613665,0
1502659295,0
1503863554,0
1504620795,0
1505591702,0
1506592851,0
1507588443,0
1508580240,0
1509579591,0
1510747462,0
1511586036,0
1512628610,0
1513743795,0
1514801277,0
1515621073,0
1516609554,0
1517654943,0
1518599647,0
1519590258,0
1520596184,0
1521598739,0
1522610258,0
1524850462,0
1524934165,0
1525716906,0
1526667943,0
1527640739,0
1528776258,0
1529602110,0
1530652221,0
1531631739,0
1532806721,0
1533758480,0
1534627054,0
1535627351,0
1536619610,0
1537610536,0
1538640147,0
1539612943,0
1540612239,0
1541678184,0
1542674573,0
1543638443,0
1544653832,0
1545704573,0
1546605054,0
1547745610,0
1548573036,0
1549567443,0
1550595795,0
1551568425,0
1552565406,0
1553561295,0
1554599499,0
1555573610,0
1556612943,0
1557664647,0
1558632443,0
1559604147,0
1560603758,0
1561599388,0
1562622554,0
1563612388,0
1564618999,0
1565606147,0
1566607091,0
1567581443,0
1568587777,0
1569584499,0
1570596499,0
1571690925,0
1572620758,0
1573606314,0
1574691239,0
1575610795,0
1576631258,0
1577829165,0
1578616462,0
1579600110,0
1580594536,0
1581596573,0
1582612073,0
1583601536,0
1584594332,0
1585598147,0
1586612628,0
1587615906,0
1588618665,0
1589643369,0
1590617091,0
1591605943,0
1592775684,0
1593603591,0
1594601388,0
1595593906,0
1596683999,0
1597604406,0
1598610943,0
1599614684,0
1600600221,0
1601736036,0
1602640517,0
1603644795,0
1604619128,0
1605660814,0
1606815684,0
1607784314,0
1608591573,0
1609585295,0
