epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.508,3.23685,3.95066,4.18401,0.00286,0.86538,0.00495,0.00096,3.20171,4.30672,4.1421,0.00046,0.00046,0.00046
2,324.716,2.98591,3.6628,3.97472,0.0026,0.78846,0.00313,0.00065,3.14045,4.14899,4.08887,0.000921388,0.000921388,0.000921388
3,467.082,2.80161,3.12562,3.55044,0.0026,0.78846,0.00364,0.00074,3.25397,3.95126,4.22205,0.00136377,0.00136377,0.00136377
4,607.68,2.51563,2.75693,3.21603,0.29396,0.00962,0.00705,0.00194,2.99923,4.0375,4.1638,0.00178714,0.00178714,0.00178714
5,749.906,2.40628,2.32145,2.99519,0.03204,0.10577,0.03034,0.00647,2.61825,4.43781,5.65056,0.0018416,0.0018416,0.0018416
6,950.321,2.26649,2.16672,2.8576,0.0205,0.125,0.01029,0.00139,3.9438,4.76129,15.8114,0.001802,0.001802,0.001802
7,1163.69,2.12091,1.93211,2.76918,0.00364,0.73077,0.0061,0.00153,3.00373,4.05235,3.84564,0.0017624,0.0017624,0.0017624
8,1346.54,2.05919,1.90201,2.68524,0.03944,0.24038,0.03117,0.00777,2.87908,3.95946,3.62599,0.0017228,0.0017228,0.0017228
9,1513.89,1.91999,1.72721,2.56177,0.00267,0.79808,0.00601,0.00152,2.56803,4.16339,3.77798,0.0016832,0.0016832,0.0016832
10,1700.34,1.8609,1.57188,2.47939,0.72293,0.60215,0.71137,0.31902,2.17758,2.24809,3.00954,0.0016436,0.0016436,0.0016436
11,1878.63,1.73224,1.48379,2.37301,0.92043,0.88982,0.97595,0.73863,1.2466,1.6163,1.93539,0.001604,0.001604,0.001604
12,2063.83,1.59101,1.37441,2.21365,0.93233,0.99038,0.98017,0.66447,1.41229,1.73029,2.12471,0.0015644,0.0015644,0.0015644
13,2234.37,1.50658,1.27924,2.14901,0.95322,0.97976,0.97781,0.731,1.14739,2.10235,1.81475,0.0015248,0.0015248,0.0015248
14,2425.15,1.49629,1.16858,2.06123,0.94763,0.91346,0.98273,0.67635,1.22958,1.60415,1.82015,0.0014852,0.0014852,0.0014852
15,2602.09,1.38536,1.11391,1.93301,0.90476,0.82216,0.93828,0.64363,1.31872,1.86239,1.90901,0.0014456,0.0014456,0.0014456
16,2795.15,1.31585,1.04643,1.87066,0.98811,0.98077,0.99015,0.69748,1.08369,1.04894,1.76368,0.001406,0.001406,0.001406
17,2978.09,1.27745,1.02234,1.84122,0.97683,0.98077,0.98534,0.64865,1.11864,1.34418,1.63277,0.0013664,0.0013664,0.0013664
18,3165.55,1.2712,0.98182,1.78169,0.98665,0.98077,0.99115,0.79847,0.89682,1.12173,1.51386,0.0013268,0.0013268,0.0013268
19,3351.01,1.2542,0.97723,1.78137,0.99029,0.98041,0.98976,0.74722,1.0086,0.95803,1.61413,0.0012872,0.0012872,0.0012872
20,3518.62,1.19814,0.94707,1.75433,0.99037,0.98924,0.9899,0.7569,0.949,1.0281,1.49914,0.0012476,0.0012476,0.0012476
21,3702.53,1.18073,0.90594,1.69022,0.98682,0.99038,0.99202,0.80848,0.80878,0.92607,1.45609,0.001208,0.001208,0.001208
22,3870.35,1.09829,0.87622,1.64384,0.98645,0.99038,0.9901,0.80351,0.90574,0.87627,1.4593,0.0011684,0.0011684,0.0011684
23,4055.35,1.11653,0.83364,1.6173,0.99037,0.98916,0.98971,0.75274,0.99359,0.77024,1.56882,0.0011288,0.0011288,0.0011288
24,4252.82,1.02867,0.78381,1.57025,0.9808,0.98257,0.98957,0.8181,0.83084,0.78958,1.38217,0.0010892,0.0010892,0.0010892
25,4445,1.00038,0.75941,1.52364,0.99038,0.98972,0.98779,0.80811,0.84849,0.81024,1.41617,0.0010496,0.0010496,0.0010496
26,4633.11,1.02188,0.76057,1.54128,0.98985,0.99038,0.99048,0.8397,0.73467,0.7672,1.38279,0.00101,0.00101,0.00101
27,4826.36,0.98021,0.73892,1.49398,0.98091,0.98835,0.98568,0.84906,0.70689,0.70392,1.24278,0.0009704,0.0009704,0.0009704
28,5012,0.98147,0.72643,1.5206,0.98979,0.99038,0.9901,0.87417,0.61579,0.66679,1.24533,0.0009308,0.0009308,0.0009308
29,5174.18,0.89841,0.68263,1.44423,0.98622,0.99038,0.9901,0.86319,0.65976,0.6592,1.2702,0.0008912,0.0008912,0.0008912
30,5351.43,0.87778,0.68441,1.44211,0.99038,0.99011,0.99221,0.85609,0.62797,0.6227,1.20453,0.0008516,0.0008516,0.0008516
31,5866,0.87076,0.66141,1.42529,0.98265,0.99038,0.99077,0.8535,0.61449,0.61661,1.23352,0.000812,0.000812,0.000812
32,6148.25,0.83452,0.63528,1.39091,0.98375,0.99038,0.98875,0.87122,0.61018,0.65989,1.19899,0.0007724,0.0007724,0.0007724
33,6325.6,0.83061,0.61061,1.37723,0.9895,0.99038,0.99077,0.89467,0.55689,0.67703,1.18717,0.0007328,0.0007328,0.0007328
34,6492.7,0.78835,0.59088,1.33865,0.98621,0.99038,0.99019,0.86786,0.58856,0.70041,1.18478,0.0006932,0.0006932,0.0006932
35,6674.1,0.79626,0.60157,1.3634,0.98755,0.99038,0.99327,0.89736,0.58817,0.60099,1.22369,0.0006536,0.0006536,0.0006536
36,6862.73,0.78392,0.5943,1.34211,0.98505,0.99038,0.98577,0.85415,0.64489,0.63665,1.20356,0.000614,0.000614,0.000614
37,7036.17,0.76283,0.5804,1.31634,0.98875,0.99038,0.98885,0.90654,0.51413,0.53666,1.12408,0.0005744,0.0005744,0.0005744
38,7203.07,0.78201,0.58535,1.34249,0.98916,0.99038,0.99048,0.86241,0.58278,0.52048,1.13842,0.0005348,0.0005348,0.0005348
39,7363.05,0.70901,0.54442,1.28369,0.98699,0.99038,0.99019,0.88393,0.5267,0.55573,1.1025,0.0004952,0.0004952,0.0004952
40,8054.78,0.74719,0.56998,1.32651,0.98899,0.99038,0.99221,0.87446,0.52193,0.51957,1.10303,0.0004556,0.0004556,0.0004556
41,8197.47,0.53167,0.497,1.16685,0.98731,0.99038,0.99058,0.90848,0.51747,0.5024,1.10506,0.000416,0.000416,0.000416
42,8424.92,0.5017,0.4619,1.1308,0.98679,0.99038,0.9899,0.90316,0.49098,0.49208,1.11636,0.0003764,0.0003764,0.0003764
43,8578.55,0.50335,0.44939,1.14267,0.9863,0.99038,0.99154,0.91552,0.46429,0.46597,1.08608,0.0003368,0.0003368,0.0003368
44,8855.6,0.48335,0.42152,1.10806,0.98612,0.99038,0.98971,0.93416,0.44996,0.4542,1.06804,0.0002972,0.0002972,0.0002972
45,9086.25,0.46075,0.41048,1.08919,0.98586,0.99038,0.98885,0.90101,0.46784,0.48585,1.07928,0.0002576,0.0002576,0.0002576
46,9351.75,0.47091,0.40864,1.09365,0.98662,0.99038,0.99317,0.95563,0.41779,0.44456,1.06452,0.000218,0.000218,0.000218
47,9617.48,0.45169,0.39456,1.07317,0.98702,0.99038,0.99163,0.93841,0.46537,0.44244,1.08018,0.0001784,0.0001784,0.0001784
48,9882.11,0.42949,0.38056,1.05605,0.9866,0.99038,0.99212,0.9611,0.39951,0.42796,1.05336,0.0001388,0.0001388,0.0001388
49,10153.7,0.42537,0.3733,1.05713,0.98719,0.99038,0.99192,0.95877,0.4098,0.42206,1.0464,9.92e-05,9.92e-05,9.92e-05
50,10423.3,0.40722,0.37751,1.03408,0.98722,0.99038,0.99115,0.9586,0.40195,0.42776,1.05193,5.96e-05,5.96e-05,5.96e-05
