43.571001739,1.46693321033333,211.7,4,30,43
43.571014739,1.46691971033333,211.7,4,22,30
43.571030739,1.46690387699999,211.8,4,18,23
43.571051739,1.466882877,211.8,4,14,14
43.5710684056667,1.46686621033333,211.8,4,14,14
43.571086239,1.46684837699999,211.8,4,14,13
43.5711109056667,1.46682371033333,211.8,4,14,11
43.5711234056667,1.46681171033333,211.7,4,14,12
43.571148739,1.46678671033333,211.7,4,14,10
43.571174906,1.46676237699999,211.7,4,14,10
43.5711885723333,1.46674954366666,211.7,4,14,10
43.571213239,1.46672354366666,211.7,4,14,11
