time,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
2025/01/25 09:09:08.551023071,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0016729077240660536
2025/01/25 09:09:08.651104075,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0016600434840887473
2025/01/25 09:09:08.751031971,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0016475327764172872
2025/01/25 09:09:08.851036258,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0016353751973250447
2025/01/25 09:09:08.951046196,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0016235753617881822
2025/01/25 09:09:09.51097648,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0016121236773896806
2025/01/25 09:09:09.151150484,0.19983575903512185,0.0,0.0,0.0,0.0,-0.001601027835804778
2025/01/25 09:09:09.251009540,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0015902973183285231
2025/01/25 09:09:09.351282261,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0015799095134535327
2025/01/25 09:09:09.451062484,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0015698988786721304
2025/01/25 09:09:09.551093758,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0015602417742400004
2025/01/25 09:09:09.651019905,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0015509470417543237
2025/01/25 09:09:09.751195165,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0015420196721201583
2025/01/25 09:09:09.851175235,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0015334651293625282
2025/01/25 09:09:09.951184528,0.19983575903512185,0.0,0.0,0.0,0.0,-0.001525279650949856
2025/01/25 09:09:10.51226425,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0015174671407945284
2025/01/25 09:09:10.151094858,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0015100434512044245
2025/01/25 09:09:10.251109422,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0015030067550092841
2025/01/25 09:09:10.351073708,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014963635034842917
2025/01/25 09:09:10.451076885,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014901184557964344
2025/01/25 09:09:10.551099595,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014842804054858599
2025/01/25 09:09:10.651095093,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014788555690180144
2025/01/25 09:09:10.751103698,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014738541008103307
2025/01/25 09:09:10.851068857,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014692841921401275
2025/01/25 09:09:10.951174658,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014651578228584282
2025/01/25 09:09:11.51098856,0.19983575903512185,0.0,0.0,0.0,0.0,-0.001461484292874293
2025/01/25 09:09:11.151149895,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014582768798568123
2025/01/25 09:09:11.251084240,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014555478971929382
2025/01/25 09:09:11.351126727,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014533146234562513
2025/01/25 09:09:11.451135725,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014515902590502812
2025/01/25 09:09:11.551105327,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014503936727223677
2025/01/25 09:09:11.651136344,0.19983575903512185,0.0,0.0,0.0,0.0,-0.0014497436893582524
2025/01/25 09:09:11.751003074,0.19983575903512185,0.0,0.0,0.0,0.0,0.005557226112971069
2025/01/25 09:09:11.851248060,0.19983575903512185,0.0,0.0,0.0,0.0,0.005509398025308069
2025/01/25 09:09:11.951167364,0.19983575903512185,0.0,0.0,0.0,0.0,0.005462725351478501
2025/01/25 09:09:12.51137112,0.19983575903512185,0.0,0.0,0.0,0.0,0.005417167939473423
2025/01/25 09:09:12.151240074,0.19983575903512185,0.0,0.0,0.0,0.0,0.005372740404082335
2025/01/25 09:09:12.251099506,0.19983575903512185,0.0,0.0,0.0,0.0,0.005329442689776387
2025/01/25 09:09:12.351166475,0.19983575903512185,0.0,0.0,0.0,0.0,0.005287270559647869
2025/01/25 09:09:12.451252672,0.19983575903512185,0.0,0.0,0.0,0.0,0.005246214498528524
2025/01/25 09:09:12.551371865,0.19983575903512185,0.0,0.0,0.0,0.0,0.0052062727016074185
2025/01/25 09:09:12.651492167,0.19983575903512185,0.0,0.0,0.0,0.0,0.00516744934515782
2025/01/25 09:09:12.751498521,0.19983575903512185,0.0,0.0,0.0,0.0,0.005129719348802111
2025/01/25 09:09:12.851570997,0.19983575903512185,0.0,0.0,0.0,0.0,0.005093135105087771
2025/01/25 09:09:12.951449692,0.19983575903512185,0.0,0.0,0.0,0.0,0.005057674083407149
2025/01/25 09:09:13.51407487,0.19983575903512185,0.0,0.0,0.0,0.0,0.005023327055709597
2025/01/25 09:09:13.151489717,0.19983575903512185,0.0,0.0,0.0,0.0,0.00499011728471877
2025/01/25 09:09:13.251694416,0.19983575903512185,0.0,0.0,0.0,0.0,0.004958034356533751
2025/01/25 09:09:13.351403687,0.19983575903512185,0.0,0.0,0.0,0.0,0.004927057963507561
2025/01/25 09:09:13.451486417,0.19983575903512185,0.0,0.0,0.0,0.0,0.004897267873219207
2025/01/25 09:09:13.551708099,0.19983575903512185,0.0,0.0,0.0,0.0,0.004868613395114262
2025/01/25 09:09:13.651473768,0.19983575903512185,0.0,0.0,0.0,0.0,0.004841104770432622
2025/01/25 09:09:13.751509824,0.19983575903512185,0.0,0.0,0.0,0.0,0.004814779737253545
