epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.065,3.25312,4.06843,4.11918,0.00214,0.64789,0.00312,0.0007,3.46629,4.72688,4.07601,0.00064,0.00064,0.00064
2,466.538,2.8648,3.59432,3.72338,0.00156,0.47183,0.00357,0.00093,3.66895,4.49499,4.22534,0.00127426,0.00127426,0.00127426
3,726.055,2.73684,3.13268,3.3334,0.00176,0.41549,0.00356,0.00063,3.92339,4.4288,4.51215,0.00188238,0.00188238,0.00188238
4,1067.47,2.57791,2.71705,3.05778,0.5251,0.28873,0.32971,0.12387,2.90614,3.2366,3.21977,0.0018812,0.0018812,0.0018812
5,1444.49,2.42747,2.37818,2.89504,0.12458,0.30986,0.06399,0.02773,2.435,4.80283,2.83271,0.0018416,0.0018416,0.0018416
6,1796.36,2.31377,2.26676,2.80374,0.17169,0.16901,0.09009,0.02619,2.08119,4.68714,2.76862,0.001802,0.001802,0.001802
7,2100.28,2.18188,2.02813,2.72026,0.40417,0.53521,0.34518,0.14548,1.99158,2.68891,2.4978,0.0017624,0.0017624,0.0017624
8,2413.17,2.12184,1.96765,2.6645,0.31532,0.50919,0.28818,0.14003,1.76974,2.48614,2.43092,0.0017228,0.0017228,0.0017228
9,2713.48,2.01887,1.83182,2.57453,0.76307,0.69014,0.6945,0.37938,1.84209,2.63306,2.33117,0.0016832,0.0016832,0.0016832
10,3032.9,2.00494,1.77735,2.49848,0.53813,0.59896,0.57239,0.27714,1.75672,1.98521,2.24999,0.0016436,0.0016436,0.0016436
11,3333.61,1.87246,1.6376,2.40413,0.66903,0.83099,0.79097,0.42767,1.66631,2.39932,2.25134,0.001604,0.001604,0.001604
12,3637.01,1.79472,1.52834,2.34719,0.71548,0.67297,0.74301,0.39403,1.69003,1.89521,2.06123,0.0015644,0.0015644,0.0015644
13,3908.79,1.66272,1.45107,2.23313,0.78525,0.71127,0.80006,0.5613,1.33042,3.12705,1.90313,0.0015248,0.0015248,0.0015248
14,4168.97,1.57936,1.3492,2.13229,0.79376,0.73181,0.83866,0.50217,1.43514,1.4685,1.96082,0.0014852,0.0014852,0.0014852
15,4407.14,1.53389,1.30747,2.06153,0.80404,0.72239,0.84881,0.54584,1.36297,1.36878,1.85472,0.0014456,0.0014456,0.0014456
16,4660.29,1.47703,1.20666,1.98829,0.88941,0.88028,0.9252,0.66574,1.11225,1.16658,1.66746,0.001406,0.001406,0.001406
17,4924.01,1.40848,1.17863,1.93125,0.88094,0.88732,0.92735,0.6403,1.20861,1.19308,1.68664,0.0013664,0.0013664,0.0013664
18,5192.76,1.37778,1.11501,1.8591,0.91451,0.80986,0.91805,0.67538,1.18853,1.7061,1.75661,0.0013268,0.0013268,0.0013268
19,5461.51,1.37549,1.07098,1.85646,0.89125,0.80797,0.90427,0.64598,1.22876,2.08296,1.77715,0.0012872,0.0012872,0.0012872
20,5731.38,1.30522,1.05679,1.78465,0.90705,0.89343,0.95143,0.7176,1.01184,0.98117,1.54336,0.0012476,0.0012476,0.0012476
